N,P,K,temperature,humidity,ph,rainfall,label
97.45,46.64,41.62,26.17,84.41,5.66,287.38,Rice
101.51,44.57,41.36,22.69,83.84,5.84,182.6,Rice
64.13,43.99,37.47,24.05,82.73,5.22,283.97,Rice
86.61,47.92,36.44,22.55,85.28,5.32,251.27,Rice
80.99,45.68,38.5,26.74,84.97,5.35,264.68,Rice
71.69,48.81,35.1,21.18,85.49,6.03,245.14,Rice
88.27,45.62,36.3,22.24,83.85,6.15,250.31,Rice
63.55,49.53,39.04,22.32,86.53,6.14,267.94,Rice
77.41,45.57,40.83,25.21,83.8,5.68,206.81,Rice
72.06,52.58,43.39,23.37,87.51,5.89,220.65,Rice
95.42,57.11,39.91,26.24,78.45,6.06,242.61,Rice
85.51,48.07,35.03,23.12,85.89,6.3,224.45,Rice
77.87,44.36,42.29,24.08,83.68,5.94,242.91,Rice
104.53,43.11,39.18,22.81,81.34,5.86,247.83,Rice
90.08,46.03,36.46,22.76,84.14,5.45,235.16,Rice
96.06,59.29,40.44,23.95,84.81,5.03,239.2,Rice
90.9,62.9,39.52,24.03,84.91,5.31,274.28,Rice
101.28,52.44,37.73,25.95,81.5,5.97,300.0,Rice
75.14,43.96,40.25,22.62,81.12,5.78,208.13,Rice
97.1,41.75,43.87,22.13,84.19,6.06,203.07,Rice
93.41,55.67,35.98,23.82,85.65,6.04,202.89,Rice
70.19,50.76,40.74,23.94,85.87,5.49,246.97,Rice
94.4,43.04,44.66,24.33,82.02,6.0,210.76,Rice
101.81,54.74,37.95,25.19,86.03,6.06,296.9,Rice
86.32,42.79,37.78,22.07,84.81,5.88,248.3,Rice
102.41,47.58,43.63,23.04,91.8,5.98,214.29,Rice
73.94,50.52,39.44,24.75,86.18,5.72,214.6,Rice
67.28,44.71,42.14,23.87,81.89,5.81,251.56,Rice
76.74,48.46,40.15,21.5,85.89,5.96,272.49,Rice
105.81,38.89,37.66,24.4,86.28,5.94,300.0,Rice
98.56,54.6,42.39,24.64,84.21,6.03,216.82,Rice
86.45,44.47,40.2,27.55,80.33,6.01,191.62,Rice
82.92,54.31,40.16,21.61,83.21,6.0,218.09,Rice
93.25,47.78,38.37,27.25,86.58,4.99,245.59,Rice
80.07,52.83,38.02,23.3,86.26,6.07,203.99,Rice
84.98,44.53,38.37,26.59,86.01,5.28,267.54,Rice
121.83,53.95,36.2,22.65,88.17,5.48,253.31,Rice
101.62,41.71,39.85,17.83,82.44,5.66,202.57,Rice
114.49,38.56,38.9,23.73,88.6,5.21,274.89,Rice
90.15,41.37,41.16,23.85,83.5,5.78,228.44,Rice
91.7,51.64,43.97,21.33,90.33,5.02,235.45,Rice
98.82,49.26,38.44,23.14,83.77,5.53,265.49,Rice
95.36,43.17,42.25,24.04,87.03,5.99,215.13,Rice
81.6,52.17,41.53,23.46,85.29,6.23,222.25,Rice
98.21,46.24,39.46,25.42,87.06,6.06,279.16,Rice
90.32,51.76,39.22,24.07,84.67,5.79,257.85,Rice
77.73,60.58,37.48,21.38,87.9,6.05,258.72,Rice
99.43,47.42,37.76,23.63,83.31,6.12,235.59,Rice
77.62,45.49,41.03,22.51,82.94,5.84,247.35,Rice
82.4,44.56,40.58,20.97,81.48,5.48,233.6,Rice
94.66,56.72,42.14,23.22,84.95,5.37,239.44,Rice
85.67,49.52,37.93,24.41,88.83,5.71,252.05,Rice
100.35,44.99,40.56,23.52,85.24,5.46,240.74,Rice
97.47,56.57,42.4,27.27,83.08,6.08,245.5,Rice
122.85,42.45,37.9,22.45,79.69,5.55,217.23,Rice
92.26,49.64,44.69,25.16,83.56,5.41,254.76,Rice
70.2,58.95,42.95,22.68,80.72,6.26,236.56,Rice
108.57,37.53,38.5,23.51,85.12,5.58,258.69,Rice
73.99,46.61,40.3,24.4,86.78,5.33,193.98,Rice
109.17,49.58,38.13,26.21,85.29,6.19,242.03,Rice
120.91,58.47,39.38,25.2,86.61,6.26,211.05,Rice
100.29,54.12,35.6,21.43,79.9,5.65,261.53,Rice
112.54,47.96,44.07,21.08,80.74,5.73,251.52,Rice
89.51,34.58,39.78,21.22,86.67,5.89,211.8,Rice
82.29,40.88,39.84,25.17,82.54,5.94,224.09,Rice
78.11,46.83,37.41,22.53,82.01,6.49,241.06,Rice
79.5,48.84,39.72,23.11,86.54,6.03,224.08,Rice
81.36,45.78,34.25,20.85,88.42,6.37,232.53,Rice
98.65,49.45,47.7,25.46,84.68,5.39,191.81,Rice
93.05,42.77,36.44,22.37,82.3,6.38,266.45,Rice
89.88,56.75,40.19,21.99,88.81,5.95,208.88,Rice
87.14,42.03,36.54,25.12,89.77,5.23,256.89,Rice
80.24,44.46,38.52,21.99,85.12,5.44,248.11,Rice
89.25,46.01,37.73,22.49,86.89,5.94,210.67,Rice
91.49,52.2,35.83,24.45,83.34,5.96,217.1,Rice
62.93,37.33,40.12,23.95,82.74,5.99,190.15,Rice
89.01,39.93,38.37,23.58,82.85,5.61,270.19,Rice
81.35,52.72,37.18,24.43,88.6,4.82,216.09,Rice
98.66,46.23,40.93,22.44,85.22,5.69,275.03,Rice
93.82,49.61,38.97,22.65,83.92,5.9,227.37,Rice
94.35,60.47,42.18,22.93,88.0,5.6,178.86,Rice
74.88,35.81,39.12,23.53,89.19,5.87,233.43,Rice
102.44,33.68,40.59,24.85,81.3,6.18,250.15,Rice
83.77,51.45,45.68,23.82,85.62,5.58,214.5,Rice
102.46,42.15,40.18,22.66,86.2,5.88,271.13,Rice
82.35,45.81,37.55,22.72,85.94,6.03,212.34,Rice
103.04,55.97,41.03,26.78,83.07,5.28,186.64,Rice
112.44,51.59,39.86,23.99,82.19,6.67,243.88,Rice
91.64,52.04,41.2,23.89,83.02,5.93,296.46,Rice
110.18,57.46,38.72,21.77,84.69,5.77,272.83,Rice
64.61,57.06,39.6,22.75,82.47,5.13,264.7,Rice
91.1,39.44,36.76,22.91,89.17,5.65,194.91,Rice
86.31,45.8,33.26,23.4,84.42,6.01,295.47,Rice
106.9,45.82,37.23,28.0,85.15,5.76,239.28,Rice
92.97,46.6,38.57,22.54,84.92,5.55,218.61,Rice
91.6,45.91,43.76,18.86,87.73,6.22,177.8,Rice
84.86,45.18,36.48,22.14,82.22,6.41,268.07,Rice
109.07,52.01,37.18,22.58,86.22,5.29,261.39,Rice
86.4,45.16,41.78,24.28,84.1,6.18,207.57,Rice
99.24,51.21,39.23,24.07,81.87,6.1,234.45,Rice
74.77,54.06,18.24,19.33,57.22,6.48,68.99,Maize
97.55,34.49,24.24,22.97,64.52,6.05,89.99,Maize
79.62,54.4,20.29,22.84,63.18,6.23,88.85,Maize
62.9,39.07,21.86,22.88,64.08,6.26,89.34,Maize
74.6,42.64,20.49,20.3,67.04,5.61,97.86,Maize
84.73,49.1,22.46,26.25,70.07,5.56,69.01,Maize
73.75,47.66,21.29,20.87,65.93,5.97,77.36,Maize
65.93,41.73,16.62,20.3,70.27,5.89,117.9,Maize
84.93,48.66,17.85,24.08,62.12,6.3,117.0,Maize
79.04,54.68,18.24,22.42,73.85,6.01,107.66,Maize
87.08,43.98,21.58,24.69,68.11,5.66,75.91,Maize
77.52,47.03,21.55,22.9,58.32,6.39,92.63,Maize
85.6,54.25,22.08,23.53,64.65,5.63,90.37,Maize
82.08,49.2,16.81,20.07,70.27,6.24,93.52,Maize
80.28,47.69,22.35,21.34,65.48,6.08,79.57,Maize
76.91,48.89,18.8,25.33,60.53,6.18,79.5,Maize
94.47,48.73,22.58,19.16,66.34,6.58,86.03,Maize
90.65,44.27,23.52,27.67,63.19,6.08,103.17,Maize
95.8,44.23,18.95,21.87,58.28,5.91,72.45,Maize
72.32,47.28,20.59,25.99,60.01,6.62,82.33,Maize
79.51,51.72,17.19,23.36,65.83,6.43,88.61,Maize
104.55,43.51,18.67,21.1,62.22,6.01,99.86,Maize
94.21,43.93,17.92,23.56,62.24,6.49,87.54,Maize
64.84,57.17,24.49,21.12,63.06,6.36,89.18,Maize
86.59,60.06,19.56,20.7,58.1,5.98,84.59,Maize
97.95,44.26,20.56,22.46,70.94,7.2,78.36,Maize
75.11,54.03,21.7,26.66,67.92,6.12,92.38,Maize
91.09,52.63,21.27,24.9,70.85,6.77,93.11,Maize
78.33,48.42,23.02,20.66,66.84,6.1,85.36,Maize
92.78,48.69,20.12,19.44,68.73,6.49,112.04,Maize
76.92,48.87,20.62,26.05,64.52,6.35,92.6,Maize
81.87,44.71,20.49,24.92,59.87,6.3,76.25,Maize
91.95,37.98,18.6,23.35,72.83,6.23,78.06,Maize
98.81,38.45,14.5,23.49,62.49,5.87,93.85,Maize
82.44,43.97,16.8,24.46,68.25,6.21,108.08,Maize
69.3,37.97,18.27,22.4,66.22,6.16,89.4,Maize
67.48,56.52,19.79,25.01,66.71,6.42,92.12,Maize
84.48,51.52,23.32,22.94,68.55,6.22,103.0,Maize
73.24,58.76,19.9,19.28,65.64,5.99,95.51,Maize
73.47,44.71,15.28,21.48,52.88,5.66,94.51,Maize
87.86,50.16,17.58,22.39,64.98,5.82,103.79,Maize
88.77,46.12,20.07,22.97,54.79,6.16,76.48,Maize
69.98,45.74,24.49,23.94,62.14,6.46,102.49,Maize
89.25,47.87,18.38,24.07,66.97,6.59,92.94,Maize
90.5,44.15,23.29,22.94,75.38,5.99,106.7,Maize
81.98,43.43,18.79,21.78,67.12,6.45,77.83,Maize
79.76,60.89,24.32,23.48,65.19,6.3,92.67,Maize
69.77,45.89,15.83,23.4,68.24,6.07,104.67,Maize
67.74,38.35,20.56,24.86,73.42,6.08,98.48,Maize
79.61,46.42,22.21,23.97,57.12,6.8,102.25,Maize
73.74,49.97,21.24,23.09,62.25,6.0,84.68,Maize
91.73,50.9,19.07,24.24,50.76,6.68,63.25,Maize
76.38,40.5,16.76,25.11,62.66,6.38,84.41,Maize
84.77,47.98,16.79,24.74,62.53,5.67,79.65,Maize
95.01,52.81,19.13,21.71,63.39,7.03,89.77,Maize
84.3,53.94,20.6,21.92,64.02,6.22,84.53,Maize
87.28,47.82,21.83,22.32,65.39,5.5,96.45,Maize
83.46,53.74,12.76,27.2,64.3,6.67,72.0,Maize
86.13,40.92,18.44,26.81,64.05,6.33,95.88,Maize
84.96,48.44,20.91,27.91,64.71,6.33,98.13,Maize
91.06,54.92,21.6,19.93,73.17,5.82,88.78,Maize
72.46,47.1,20.82,23.22,67.11,6.86,90.67,Maize
77.56,53.53,22.97,19.74,67.99,6.51,81.28,Maize
93.76,46.56,20.31,22.11,65.08,5.84,67.0,Maize
95.95,42.21,17.52,17.65,61.81,5.75,105.53,Maize
90.1,43.2,25.63,24.71,63.38,5.31,113.64,Maize
66.1,37.22,22.56,27.99,71.92,6.46,92.43,Maize
88.53,52.24,20.7,22.73,64.69,5.97,81.49,Maize
63.07,46.89,17.53,20.02,65.9,6.77,96.48,Maize
64.29,41.31,22.35,20.29,63.88,6.46,72.9,Maize
81.05,39.16,18.5,23.22,57.04,6.42,84.75,Maize
85.52,48.9,23.41,22.78,62.85,6.3,91.79,Maize
80.49,47.75,18.25,21.01,57.99,6.91,69.45,Maize
73.07,43.01,22.24,21.84,71.24,6.0,88.49,Maize
71.65,60.91,17.03,23.2,68.17,6.41,82.68,Maize
78.7,47.77,19.63,24.67,76.05,6.04,67.88,Maize
79.12,63.62,17.99,26.19,73.39,6.04,92.11,Maize
96.28,45.13,19.49,21.19,59.93,6.01,69.7,Maize
80.34,42.69,20.58,19.0,66.65,6.56,60.08,Maize
83.74,55.17,16.98,26.26,67.1,5.99,84.3,Maize
85.58,47.98,21.35,20.43,65.85,5.72,83.61,Maize
70.96,42.9,23.09,24.96,68.05,5.84,81.04,Maize
92.13,48.39,25.8,23.38,65.96,6.13,86.67,Maize
78.48,51.93,22.39,20.73,58.34,5.56,91.35,Maize
68.97,34.04,20.97,28.11,64.97,6.56,86.02,Maize
79.01,53.24,19.27,23.1,66.61,6.0,97.4,Maize
78.25,42.78,21.34,20.48,65.14,6.25,98.57,Maize
84.75,47.34,22.04,25.63,67.79,6.25,68.6,Maize
69.35,45.59,18.48,22.08,65.28,6.45,84.12,Maize
84.87,47.9,15.06,20.39,64.28,5.8,92.5,Maize
95.31,55.12,19.47,25.85,65.74,6.12,77.33,Maize
76.98,45.07,20.43,22.86,65.02,6.41,99.88,Maize
89.5,38.22,13.62,24.6,58.17,6.17,70.37,Maize
61.98,50.88,21.9,21.2,52.04,6.05,89.9,Maize
65.21,48.65,19.96,23.8,65.6,5.89,99.96,Maize
78.41,47.33,17.67,21.5,60.58,6.19,106.4,Maize
66.28,37.42,23.68,22.03,61.65,6.64,77.43,Maize
98.26,51.74,18.78,27.35,61.97,6.53,88.74,Maize
93.02,57.26,20.08,20.8,67.3,6.0,110.17,Maize
81.37,45.22,20.46,19.47,60.14,6.7,76.79,Maize
27.15,70.85,82.96,19.72,18.49,6.78,69.34,Chickpea
46.26,65.48,79.37,20.33,17.83,7.53,96.24,Chickpea
30.17,73.3,80.14,19.27,19.29,7.57,84.04,Chickpea
