mean_hue,mean_saturation,mean_value,lesion_ratio,texture_contrast,disease
43.52,193.2,135.85,0.0812,37.8,Rice Brown Spot
21.48,113.37,64.29,0.3778,53.95,Potato Late Blight
43.16,120.08,179.14,0.1735,60.58,Rice Brown Spot
27.96,149.12,137.3,0.0779,44.61,Corn Common Rust
12.27,141.84,88.25,0.4941,82.67,Apple Black Rot
33.23,137.05,77.16,0.2398,78.28,Corn Common Rust
19.64,81.6,73.09,0.2344,97.83,Tomato Early Blight
29.86,123.44,170.03,0.1018,63.13,Rice Brown Spot
20.63,100.79,106.77,0.161,108.96,Tomato Early Blight
43.18,209.48,135.77,0.2344,34.42,Rice Brown Spot
16.36,152.53,112.75,0.1043,71.44,Rice Brown Spot
34.13,140.7,77.6,0.2537,61.57,Tomato Early Blight
69.61,177.22,123.85,0.0002,26.31,Healthy
61.34,179.02,172.72,0.0278,23.02,Healthy
40.89,182.33,106.4,0.0627,45.55,Rice Brown Spot
36.89,183.76,167.59,0.1444,35.98,Corn Common Rust
31.22,152.17,73.6,0.2396,52.83,Apple Black Rot
10.64,90.79,53.14,0.3727,72.0,Tomato Early Blight
42.23,144.93,115.14,0.2011,41.44,Rice Brown Spot
27.37,168.05,112.44,0.2535,57.38,Potato Late Blight
39.11,138.66,168.18,0.1579,70.37,Rice Brown Spot
25.69,210.68,99.93,0.1795,30.03,Rice Brown Spot
40.82,120.7,126.18,0.1335,41.11,Corn Common Rust
16.74,104.41,66.83,0.2266,89.07,Potato Late Blight
25.91,217.18,175.87,0.1004,54.86,Rice Brown Spot
44.44,199.77,132.01,0.0293,18.22,Healthy
25.35,183.44,144.88,0.1562,52.39,Corn Common Rust
16.05,147.21,126.16,0.2332,100.98,Apple Black Rot
33.97,183.35,128.94,0.0681,71.77,Corn Common Rust
30.25,189.58,164.42,0.1152,41.01,Rice Brown Spot
22.8,102.65,114.52,0.211,98.37,Tomato Early Blight
30.94,147.57,123.52,0.2232,87.9,Tomato Early Blight
16.45,146.0,131.72,0.3443,87.08,Tomato Early Blight
34.91,176.54,105.83,0.4589,63.21,Tomato Early Blight
50.48,172.6,207.65,0.0266,25.6,Healthy
17.52,136.16,168.84,0.1713,30.46,Rice Brown Spot
33.5,177.37,78.39,0.2569,83.99,Apple Black Rot
