crop,area_acres,yield_tons,selling_price_per_ton,estimated_expenses,expected_revenue,expected_profit
Tomato,12.15,55.01,979.69,12348.7,53889.22,41540.51
Maize,3.18,7.83,1066.18,3251.86,8345.27,5093.41
Soybean,10.11,24.58,922.0,14423.0,22663.86,8240.86
Maize,3.55,16.05,504.24,3296.32,8091.97,4795.64
Cotton,1.32,13.44,599.86,470.94,8061.4,7590.46
Cotton,6.13,55.32,985.18,3307.3,54495.76,51188.47
Tomato,14.77,135.86,1059.94,16483.45,144007.3,127523.85
Rice,1.91,32.78,1165.63,2426.76,38211.19,35784.43
Rice,1.22,6.5,441.03,1370.25,2865.18,1494.93
Cotton,7.93,16.4,1109.32,4843.06,18192.51,13349.44
Soybean,11.58,98.56,407.94,11357.92,40207.74,28849.82
Sugarcane,14.57,208.26,1139.5,20021.91,237312.74,217290.83
Potato,11.18,77.02,770.44,10343.18,59339.15,48995.97
Potato,5.55,43.95,471.35,7190.38,20718.01,13527.64
Maize,14.51,167.14,476.0,9514.06,79558.15,70044.1
Sugarcane,2.04,36.34,972.24,1100.45,35335.82,34235.37
Soybean,1.2,5.72,911.34,1494.25,5215.88,3721.63
Wheat,2.04,15.1,315.87,2720.37,4769.92,2049.55
Soybean,7.29,22.42,570.82,8040.57,12796.89,4756.32
Sugarcane,11.21,134.79,1087.21,9719.12,146550.56,136831.44
Sugarcane,14.6,226.46,921.73,8516.77,208739.38,200222.61
Potato,7.91,80.12,627.54,2615.32,50279.37,47664.06
Sugarcane,3.82,62.26,675.37,3732.03,42046.0,38313.97
Cotton,13.71,76.94,610.38,16538.42,46960.3,30421.88
Cotton,14.2,161.61,894.78,19263.1,144609.42,125346.32
Maize,12.31,147.16,1071.46,15569.5,157679.19,142109.69
Cotton,6.83,109.8,524.35,3050.14,57575.49,54525.34
Rice,5.45,18.08,427.94,4429.95,7736.3,3306.35
Cotton,5.94,38.76,364.66,5585.19,14132.33,8547.14
Potato,4.11,14.29,537.62,5882.73,7683.58,1800.85
Potato,4.06,43.51,603.84,1535.17,26270.59,24735.42
Maize,14.47,81.84,697.25,9568.27,57065.18,47496.91
Rice,14.97,88.34,1176.61,11873.57,103944.05,92070.48
Tomato,4.9,80.8,439.56,2322.48,35516.87,33194.39
Cotton,7.27,77.22,792.7,2885.95,61209.1,58323.15
Soybean,4.33,58.48,567.78,4581.21,33204.45,28623.24
Potato,6.58,98.56,998.35,3165.77,98399.93,95234.16
Wheat,3.61,7.85,790.89,4019.61,6205.75,2186.14
Wheat,10.96,162.77,548.67,4551.29,89307.53,84756.24
Rice,10.67,84.12,1136.73,4963.27,95617.57,90654.3
Cotton,11.29,55.9,741.45,12816.92,41444.63,28627.71
Tomato,10.24,153.43,755.2,9580.14,115873.87,106293.73
Maize,14.95,260.53,758.29,20316.17,197556.03,177239.86
Tomato,5.75,41.73,925.96,7910.13,38640.35,30730.22
Soybean,6.66,107.6,1050.93,9480.03,113077.1,103597.08
Cotton,13.58,156.25,209.2,5727.48,32686.99,26959.52
Wheat,14.63,90.49,505.36,12915.58,45730.43,32814.85
Wheat,10.13,52.67,912.18,5921.51,48041.99,42120.48
Sugarcane,3.5,26.44,944.17,4082.05,24963.98,20881.94
Soybean,8.96,27.28,567.72,5537.18,15485.96,9948.78
Potato,9.26,163.42,686.74,12844.06,112229.55,99385.49
Wheat,12.13,118.77,776.9,10805.73,92272.43,81466.7
Sugarcane,4.22,41.11,772.0,5161.13,31740.25,26579.12
Soybean,3.48,59.21,1153.93,4863.84,68328.11,63464.27
Wheat,11.47,197.55,530.75,11047.39,104847.2,93799.81
Tomato,14.49,225.69,494.45,11043.6,111590.86,100547.26
Tomato,4.76,45.24,572.69,3681.43,25908.94,22227.51
Potato,10.74,117.18,297.18,11152.8,34822.76,23669.96
Potato,6.02,34.28,495.29,4136.83,16979.59,12842.76
Soybean,10.76,140.84,559.49,7017.7,78796.34,71778.65
Tomato,6.88,39.39,811.51,2736.42,31963.12,29226.7
Tomato,8.02,117.69,849.96,9163.13,100029.21,90866.08
Soybean,1.71,27.59,227.62,1701.59,6280.66,4579.08
Soybean,9.1,19.04,665.6,8651.8,12671.79,4019.99
Sugarcane,12.75,200.06,450.25,4417.46,90075.14,85657.67
Tomato,6.04,21.73,722.24,7396.18,15696.12,8299.94
Cotton,14.51,131.27,1042.02,7739.43,136789.52,129050.1
Potato,8.57,102.98,926.09,12605.03,95366.53,82761.5
Cotton,11.0,23.96,598.82,9026.03,14349.66,5323.63
